location,age,max(total_cases),max(total_deaths),survival
Fiji,28.60000,66126,866,98.69037897347488
Kazakhstan,30.60000,1397812,19018,98.63944507558956
Argentina,31.90000,9426171,129145,98.62993149604436
Croatia,44.00000,1156932,16101,98.60830195724554
Saint Lucia,34.90000,27252,385,98.58725965066783
Bangladesh,27.50000,1989854,29200,98.53255565483698
Papua New Guinea,22.60000,44675,658,98.52714045886961
Kyrgyzstan,26.30000,201101,2991,98.51268765446218
Democratic Republic of Congo,17.00000,91393,1375,98.49550840874028
Wallis and Futuna,"",456,7,98.46491228070175
Ethiopia,19.80000,487430,7530,98.45516279260612
Chile,35.40000,3710521,57897,98.43965308375832
Congo,19.00000,24128,385,98.40434350132627
Cameroon,18.80000,120068,1931,98.3917446780158
Sierra Leone,19.10000,7704,125,98.37746625129803
Antigua and Barbuda,32.10000,8668,141,98.37332718043378
Philippines,25.20000,3714770,60639,98.36762437512955
Nicaragua,27.30000,14619,241,98.35146042820988
Mauritania,20.30000,59238,982,98.34228029305513
Suriname,29.60000,80766,1355,98.32231384493475
Kenya,20.00000,334249,5655,98.30814751876595
Burkina Faso,17.60000,21044,387,98.16099600836343
Guyana,26.30000,67657,1256,98.14357716126935
Angola,16.80000,101320,1900,98.1247532570075
Eswatini,21.50000,72999,1413,98.06435704598692
Poland,41.80000,6012635,116412,98.06387715203068
Iran,32.40000,7239557,141396,98.0468970684256
Comoros,20.40000,8139,160,98.03415653028628
Pakistan,23.50000,1536479,30395,98.02177576133484
Guatemala,22.90000,921146,18616,97.9790391534024
Guinea-Bissau,19.40000,8400,171,97.96428571428571
Armenia,35.70000,423006,8629,97.960076216413
Brazil,33.50000,32759730,673073,97.94542567963778
Russia,39.60000,18179254,373683,97.94445360629209
Lesotho,22.20000,33746,699,97.92864339477272
Madagascar,19.60000,65009,1398,97.84952852681937
Uganda,16.40000,168360,3627,97.8456878118318
Zimbabwe,19.60000,255939,5564,97.82604448716296
Jamaica,31.40000,142912,3130,97.80984102104792
Moldova,37.60000,520321,11567,97.776949229418
Ukraine,41.40000,5040518,112459,97.76889994242656
Cambodia,25.60000,136296,3056,97.7578212126548
Romania,43.00000,2919461,65739,97.74824873495484
Colombia,32.20000,6175181,140070,97.73172640607619
Bahamas,34.30000,36101,820,97.72859477576799
Senegal,18.70000,86325,1968,97.72024326672458
Tanzania,17.70000,35768,841,97.64873630060389
Bolivia,25.40000,928450,21955,97.63530615542032
Mali,16.40000,31153,737,97.63425673289892
Trinidad and Tobago,36.20000,166053,3987,97.59895936839443
Namibia,22.00000,169253,4065,97.59827004543494
Hungary,43.40000,1928125,46647,97.58070664505672
Sri Lanka,34.10000,664273,16525,97.51231797769893
El Salvador,27.60000,162755,4132,97.46121470922552
South Africa,27.30000,3993444,101764,97.45172337461099
Honduras,24.90000,426490,10904,97.44331637318578
Indonesia,29.30000,6074825,156706,97.42040305687819
Algeria,29.10000,266173,6875,97.41709339414591
Chad,16.70000,7426,193,97.40102343118771
Tunisia,32.70000,1052180,28691,97.27318519644928
Haiti,24.30000,31550,876,97.22345483359747
Paraguay,26.50000,660841,18994,97.12578366051743
North Macedonia,39.10000,313360,9322,97.02514679601735
Gambia,17.50000,12002,365,96.95884019330111
Malawi,18.10000,86576,2646,96.94372574385511
Myanmar,29.10000,613695,19434,96.8332803754308
Bulgaria,44.70000,1164358,37121,96.81189118810538
Niger,15.10000,9031,310,96.56737902779315
Liberia,19.20000,7500,294,96.08
Ecuador,28.10000,909882,35725,96.0736666952418
Bosnia and Herzegovina,42.50000,379244,15808,95.83170729134804
Afghanistan,18.60000,183235,7728,95.78246514039348
Egypt,25.30000,515645,24724,95.20522840326193
Somalia,16.80000,26748,1361,94.91176910423209
Mexico,29.30000,6249983,326077,94.78275380909037
Syria,21.70000,55949,3150,94.36987256251228
Peru,29.10000,3644199,213593,94.13882172735353
Sudan,19.70000,62745,4952,92.1077376683401
Yemen,20.30000,11832,2149,81.83739012846519
Falkland Islands,"",1831,"",""
Marshall Islands,"",45,"",""
Micronesia (country),23.00000,38,"",""
