location,density,rate
Anguilla,"",0.2535575679170000
Afghanistan,54.42199999999917,6.7703549060540000
Algeria,17.34799999999996,3.6014285714290000
Argentina,16.176999999999783,205.0630498533720000
Angola,23.889999999999713,7.7700617283950000
Albania,104.87099999999927,7.1371087928460000
Bahamas,39.496999999999645,2.2545180722890000
Belarus,46.85800000000016,13.0186480186480000
Andorra,163.75500000000196,3.3570391872280000
Bangladesh,1265.035999999989,32.0118343195270000
Barbados,664.4629999999921,1.9747399702820000
Aruba,584.799999999992,1.7526395173450000
Azerbaijan,119.30899999999824,10.9563380281690000
Armenia,102.93099999999811,6.2329545454550000
Antigua and Barbuda,231.84500000000102,0.6695278969960000
Australia,3.202000000000064,244.4504881450490000
Austria,106.74900000000004,85.2703062583220000
Bahrain,1935.9069999999626,11.5437853107340000
Chad,11.83299999999997,0.9551282051280000
Cambodia,90.67200000000037,2.1730769230770000
British Virgin Islands,207.97299999999865,0.8516819571870000
Belgium,375.5640000000074,185.3888888888890000
Bonaire Sint Eustatius and Saba,"",3.4693877551020000
Benin,99.1100000000005,4.8052434456930000
Cayman Islands,256.496000000005,3.1011560693640000
Burundi,423.06199999999683,7.3136645962730000
Bolivia,10.202000000000119,34.9275147928990000
Central African Republic,7.479000000000045,7.8830409356730000
Bhutan,21.187999999999917,3.0105124835740000
Cape Verde,135.5800000000015,2.2325227963530000
Brunei,81.34700000000075,10.3506311360450000
Canada,4.03699999999993,78.5178791615290000
Belize,16.42599999999989,2.2308823529410000
Brazil,25.04000000000053,405.5776836158190000
Botswana,4.043999999999975,56.9534246575340000
Bosnia and Herzegovina,68.49599999999931,7.7721893491120000
Cameroon,50.88499999999998,24.7263427109970000
Bulgaria,65.18000000000026,18.0218023255810000
Burkina Faso,70.15099999999953,1.5112781954890000
Bermuda,1308.819999999982,1.0407854984890000
Djibouti,41.28500000000009,1.0807291666670000
Comoros,437.35200000000816,0.4575707154740000
Dominica,98.56699999999985,0.8030303030300000
Ecuador,66.93899999999897,24.7132867132870000
China,147.67399999999927,36.3546798029560000
Curacao,362.64399999999586,3.0223546944860000
Chile,24.281999999999577,57.9290681502090000
Croatia,73.7260000000009,16.8502139800290000
Cuba,110.40799999999967,18.6924528301890000
Czechia,137.17600000000277,81.6187766714080000
Denmark,136.52000000000112,77.3071528751750000
Congo,15.405000000000191,1.8027314112290000
Cyprus,127.65700000000221,17.5458823529410000
Cote d'Ivoire,76.39899999999908,4.3303030303030000
Cook Islands,"",0.8553846153850000
Dominican Republic,222.8729999999998,10.9076246334310000
Costa Rica,96.07899999999901,26.3594202898550000
Colombia,44.223000000000496,52.3161764705880000
Democratic Republic of Congo,35.87900000000057,6.7484939759040000
Eritrea,44.30399999999964,0.6409090909090000
Fiji,49.56200000000011,3.8385093167700000
Germany,237.01600000000272,664.3413098236780000
France,122.57799999999817,686.4849726775960000
Greece,83.47900000000014,74.0147492625370000
Equatorial Guinea,45.19400000000018,12.6811594202900000
Finland,18.13600000000031,62.5940959409590000
Ghana,126.71899999999823,3.8606431852990000
Gabon,7.859000000000113,2.8652373660030000
Faeroe Islands,35.30800000000065,2.0669515669520000
French Polynesia,77.32400000000042,8.7465034965030000
Gibraltar,3457.100000000054,0.3856132075470000
Estonia,31.032999999999657,11.7194444444440000
Georgia,65.03199999999937,37.2277227722770000
Ethiopia,104.95699999999921,7.9160305343510000
Eswatini,79.49199999999881,2.5576323987540000
Gambia,207.56599999999992,1.1646825396830000
Falkland Islands,"",0.9557291666670000
Egypt,97.99900000000032,7.2010443864230000
El Salvador,307.8109999999942,18.1879483500720000
Guyana,3.952000000000087,1.7648809523810000
Iraq,88.125,25.9903846153850000
India,450.4189999999955,896.5108225108230000
Isle of Man,147.87200000000212,4.9175572519080000
Iran,49.83099999999899,92.1614678899080000
Ireland,69.87400000000147,63.3416422287390000
Hong Kong,7039.713999999934,99.9883116883120000
Iceland,3.403999999999997,10.2320441988950000
Israel,402.60600000000716,348.5601719197710000
Indonesia,145.72500000000227,90.3882681564250000
Guatemala,157.83400000000185,7.1406619385340000
Grenada,317.13200000000506,1.3666666666670000
Honduras,82.80499999999975,18.2319660537480000
Guinea,51.75499999999958,0.8005997001500000
Greenland,0.13700000000000043,1.1743666169900000
Haiti,398.44799999999645,1.1032934131740000
Guinea-Bissau,66.1909999999993,0.2846497764530000
Hungary,108.04300000000097,64.5372492836680000
Kiribati,143.70100000000056,1.3307984790870000
Jordan,109.28500000000223,34.4156545209180000
Lesotho,73.56199999999961,13.6857707509880000
Kuwait,232.12799999999754,9.8196022727270000
Italy,205.8589999999974,317.7200557103060000
Lithuania,45.13499999999968,22.4664723032070000
Liechtenstein,237.01199999999682,0.4780821917810000
