location,age,survival
Sierra Leone,19.10000,98.38040943249547
Singapore,42.40000,99.90642382167204
Slovakia,41.20000,99.21177335356032
Slovenia,44.50000,99.36553905364339
Solomon Islands,20.80000,99.2898254734497
Somalia,16.80000,94.93392890377815
South Africa,27.30000,97.45135991598264
South Korea,43.40000,99.86687387291386
South Sudan,19.20000,99.22178988326849
Spain,45.50000,99.16191439317414
Sri Lanka,34.10000,97.51231797769893
Sudan,19.70000,92.1077376683401
Suriname,29.60000,98.29892446532328
Sweden,41.00000,99.24134225038877
Switzerland,43.10000,99.63628949065289
Syria,21.70000,94.36987256251228
Taiwan,42.20000,99.81323009053344
Tajikistan,23.30000,99.29720004497919
Tanzania,17.70000,97.64873630060389
Thailand,40.10000,99.32156857481877
Timor,18.00000,99.4209586834429
Togo,19.40000,99.26877260157413
Tonga,22.30000,99.90308512356647
Trinidad and Tobago,36.20000,97.60635294257506
Tunisia,32.70000,97.30351074496754
Turkey,31.60000,99.34746967875247
Turks and Caicos Islands,"",99.42252165543792
Uganda,16.40000,97.8456878118318
Ukraine,41.40000,97.76889994242656
United Arab Emirates,34.00000,99.75865503142988
United Kingdom,40.80000,99.21237627008452
United States,38.30000,98.84770702263559
Uruguay,35.60000,99.2360621085351
Uzbekistan,28.20000,99.32258798700627
Vanuatu,23.10000,99.87948695876733
Vatican,"",""
Venezuela,29.00000,98.91329037729135
Vietnam,32.60000,99.59935147175501
Wallis and Futuna,"",98.46491228070175
Yemen,20.30000,81.83739012846519
Zambia,17.70000,98.77450680625711
Zimbabwe,19.60000,97.82604448716296
