location,age,max(total_cases),max(total_deaths),survival
Montserrat,"",1023,8,99.21798631476051
Morocco,29.60000,1241967,16156,98.69916028364682
Mozambique,17.70000,228677,2214,99.03182217713193
Myanmar,29.10000,613736,19434,96.83349192486672
Namibia,22.00000,169253,4065,97.59827004543494
Nepal,25.00000,980317,11952,98.78080253632243
Netherlands,43.20000,8241580,22491,99.72710329815399
New Caledonia,33.40000,65407,313,99.52145794792607
New Zealand,37.90000,1438599,1628,99.88683434369132
Nicaragua,27.30000,14721,243,98.3492969227634
Niger,15.10000,9031,310,96.56737902779315
Nigeria,18.10000,258517,3148,98.78228511084377
North Korea,35.30000,1,6,-500.0
North Macedonia,39.10000,315699,9331,97.04433653575083
Norway,39.70000,1450730,3415,99.7646012697056
Oman,30.70000,391641,4628,98.81830554002262
Pakistan,23.50000,1543250,30423,98.02864085533776
Palau,"",5269,6,99.88612639969634
Palestine,20.40000,662490,5662,99.14534559012212
Panama,29.70000,932710,8384,99.10111395825069
Papua New Guinea,22.60000,44745,662,98.52050508436697
Paraguay,26.50000,673829,19036,97.17495091484635
Peru,29.10000,3675152,213685,94.18568266020017
Philippines,25.20000,3718467,60640,98.36922043411977
Poland,41.80000,6022227,116453,98.06628013191798
Portugal,46.20000,5242121,24291,99.53661886095342
Qatar,31.90000,388849,680,99.82512491995608
Romania,43.00000,2927187,65755,97.75364539402504
Russia,39.60000,18192863,373859,97.94502382610148
Rwanda,20.30000,131668,1461,98.89039098338245
Saint Helena,"",4,"",""
Saint Kitts and Nevis,"",6293,44,99.30081042428095
Saint Lucia,34.90000,27252,385,98.58725965066783
Saint Pierre and Miquelon,"",2857,1,99.9649982499125
Saint Vincent and the Grenadines,31.80000,9447,114,98.79326770403303
Samoa,22.00000,15052,29,99.80733457347861
San Marino,"",18710,115,99.38535542490646
Sao Tome and Principe,18.70000,6064,74,98.7796833773087
Saudi Arabia,31.90000,800087,9221,98.84750033433865
Senegal,18.70000,86504,1988,97.70184037732359
Serbia,41.20000,2041175,16150,99.20878905532354
Seychelles,36.20000,45000,167,99.6288888888889
Sierra Leone,19.10000,7718,125,98.38040943249547
Singapore,42.40000,1530304,1432,99.90642382167204
Slovakia,41.20000,2557640,20160,99.21177335356032
Slovenia,44.50000,1049710,6660,99.36553905364339
Solomon Islands,20.80000,21544,153,99.2898254734497
Somalia,16.80000,26865,1361,94.93392890377815
South Africa,27.30000,3997269,101876,97.45135991598264
South Korea,43.40000,18524538,24661,99.86687387291386
South Sudan,19.20000,17733,138,99.22178988326849
Spain,45.50000,12973615,108730,99.16191439317414
Sri Lanka,34.10000,664273,16525,97.51231797769893
Sudan,19.70000,62745,4952,92.1077376683401
Suriname,29.60000,80890,1376,98.29892446532328
Sweden,41.00000,2523404,19144,99.24134225038877
Switzerland,43.10000,3805774,13842,99.63628949065289
Syria,21.70000,55949,3150,94.36987256251228
Taiwan,42.20000,4082028,7624,99.81323009053344
Tajikistan,23.30000,17786,125,99.29720004497919
Tanzania,17.70000,35768,841,97.64873630060389
Thailand,40.10000,4545043,30835,99.32156857481877
Timor,18.00000,22969,133,99.4209586834429
Togo,19.40000,37608,275,99.26877260157413
Tonga,22.30000,12382,12,99.90308512356647
Trinidad and Tobago,36.20000,168237,4027,97.60635294257506
Tunisia,32.70000,1066127,28748,97.30351074496754
Turkey,31.60000,15180444,99057,99.34746967875247
Turks and Caicos Islands,"",6234,36,99.42252165543792
Uganda,16.40000,168360,3627,97.8456878118318
Ukraine,41.40000,5040518,112459,97.76889994242656
United Arab Emirates,34.00000,962937,2324,99.75865503142988
United Kingdom,40.80000,22967566,180898,99.21237627008452
United States,38.30000,88593875,1020861,98.84770702263559
Uruguay,35.60000,962251,7351,99.2360621085351
Uzbekistan,28.20000,241655,1637,99.32258798700627
Vanuatu,23.10000,11617,14,99.87948695876733
Vatican,"",29,"",""
Venezuela,29.00000,528292,5741,98.91329037729135
Vietnam,32.60000,10754813,43089,99.59935147175501
Wallis and Futuna,"",456,7,98.46491228070175
Yemen,20.30000,11832,2149,81.83739012846519
Zambia,17.70000,327052,4008,98.77450680625711
Zimbabwe,19.60000,255939,5564,97.82604448716296
