location,death
Chad,0.0011410001250370602
Anguilla,0.05950413223140496
Djibouti,0.01885856772670443
Comoros,0.01812132508531655
Afghanistan,0.019399816665707722
Cambodia,0.018033279662296155
British Virgin Islands,0.20708016960851988
Dominica,0.0942193648506346
Algeria,0.01540905401497639
Argentina,0.2831765583969398
Angola,0.005599168329005717
Belgium,0.27489753990901566
Ecuador,0.19984376532061932
Bonaire Sint Eustatius and Saba,0.13991302703724712
Albania,0.12231398284819629
Benin,0.0013091285372271583
Bahamas,0.20709775921232304
China,3.618572035558152E-4
Curacao,0.1686934148887109
Belarus,0.07537964899855097
Chile,0.30614663621266347
Cayman Islands,0.043610334145387834
Croatia,0.39461914609679355
Burundi,3.1006666514897193E-4
Andorra,0.200377485327197
Bolivia,0.18565975511065047
Cuba,0.07536117965295863
Czechia,0.3760716180898169
Central African Republic,0.0022967540361387134
Denmark,0.11198454854057126
Bangladesh,0.017558260080813456
Barbados,0.1661406704019353
Congo,0.006823384126298366
Bhutan,0.00269265290421849
Cape Verde,0.07278862290688218
Cyprus,0.1204234351370807
Cote d'Ivoire,0.002975571225583082
Aruba,0.2528102989878259
Azerbaijan,0.09504717830095515
Armenia,0.2907219634732734
Brunei,0.0509589338938061
Canada,0.11080197645718062
Cook Islands,0.0056908718415661285
Belize,0.16793648049590656
Brazil,0.3147806759180063
Antigua and Barbuda,0.1448423952678065
Dominican Republic,0.040013825447697465
Botswana,0.11484039979309539
Bosnia and Herzegovina,0.4844246549443397
Australia,0.040041543003923076
Cameroon,0.007092937909574923
Bulgaria,0.540435906972293
Austria,0.2222585422298971
Costa Rica,0.1658865942810864
Burkina Faso,0.0018002430746812
Bermuda,0.2254718804354828
Bahrain,0.08568348019070009
Colombia,0.27348034727451365
Democratic Republic of Congo,0.0014884498564409056
Kiribati,0.010709460572708999
Guyana,0.1596803356576818
Eritrea,0.002859949653779493
Fiji,0.09591327490671714
Iraq,0.06132685286856512
Germany,0.16909321045408673
Jordan,0.13699454534229258
France,0.22260686422829343
Greece,0.2938650417371092
Equatorial Guinea,0.012621638454201039
Lesotho,0.032375095353687496
Finland,0.08905332583802676
Ghana,0.004578955435954374
India,0.037709960790816836
Kuwait,0.059049756350447825
Isle of Man,0.12879053974944385
Gabon,0.013384066992301748
Italy,0.2801276866476649
Lithuania,0.34120709538258837
Iran,0.16634254104140764
Ireland,0.15123710992625988
Liechtenstein,0.22219898572698277
Laos,0.010258344967136708
Hong Kong,0.12461603643681814
Iceland,0.04853684461701989
Israel,0.11912603594876761
Faeroe Islands,0.05708111634354678
French Polynesia,0.22970686713811436
Gibraltar,0.31165593185123625
Estonia,0.1961231161163548
Georgia,0.423240219982396
Indonesia,0.056733964972031516
Guatemala,0.102548686927489
Libya,0.09240446772008719
Grenada,0.20616732292173603
Liberia,0.005675447781247394
Honduras,0.10902321913339112
Ethiopia,0.006406720215151781
Eswatini,0.12086638251267307
Jamaica,0.10617253558310145
Latvia,0.31436569262759156
Guinea,0.003282153228842318
Kyrgyzstan,0.04512437263770288
Gambia,0.01467668863344749
Kenya,0.010306315630925291
Lebanon,0.15477568752713597
Japan,0.024932805660346644
Falkland Islands,""
Greenland,0.03692762186115214
Haiti,0.0075898809558363365
Guinea-Bissau,0.008484289180298588
Egypt,0.02371417296960846
El Salvador,0.06381836312034977
Kazakhstan,0.10012130587495902
Hungary,0.4843285799013967
Paraguay,0.2636696201376218
Russia,0.2562222049119435
Macao,3.0377085956521276E-4
Senegal,0.011560621035631602
Philippines,0.05460755279007763
Malaysia,0.1092591742269046
Singapore,0.02625788470001467
Malawi,0.013477417513038817
Maldives,0.05628931974541039
Rwanda,0.01100439219111458
