location,peak,testDate,Peak_Date,DIFFDATES,rate
Yemen,96.0,2020-05-04,2021-03-23,323,0.297213622291
Liechtenstein,209.0,2020-03-24,2022-03-13,719,0.290681502086
Liberia,126.0,2020-04-11,2022-01-04,633,0.199052132701
Turks and Caicos Islands,124.0,2020-03-28,2022-01-01,644,0.192546583851
Monaco,132.0,2020-02-29,2022-01-23,694,0.190201729107
Eritrea,102.0,2020-04-04,2022-01-13,649,0.157164869029
Montserrat,94.0,2020-04-13,2022-05-12,759,0.123847167325
Sierra Leone,72.0,2020-04-22,2021-12-29,616,0.116883116883
Macao,89.0,2020-03-22,2022-07-07,837,0.106332138590
Anguilla,69.0,2020-04-02,2022-01-16,654,0.105504587156
Sao Tome and Principe,65.0,2020-05-01,2022-01-18,627,0.103668261563
Falkland Islands,15.0,2021-01-26,2022-04-21,450,0.033333333333
Marshall Islands,13.0,2020-11-17,2022-07-07,597,0.021775544389
Micronesia (country),1.0,2021-01-21,2021-01-21,0,""
Tajikistan,210.0,2020-05-22,2020-05-22,0,""
