location,peak,testDate,Peak_Date,DIFFDATES,rate
Saint Pierre and Miquelon,279.0,2020-04-05,2022-04-01,726,0.384297520661
Saint Kitts and Nevis,238.0,2020-03-25,2022-01-07,653,0.364471669219
Wallis and Futuna,47.0,2020-10-19,2021-03-17,149,0.315436241611
Guinea-Bissau,191.0,2020-03-25,2022-01-25,671,0.284649776453
Anguilla,196.0,2020-03-28,2022-05-10,773,0.253557567917
Montserrat,160.0,2020-03-18,2022-05-10,783,0.204342273308
Macao,89.0,2020-01-23,2022-07-07,896,0.099330357143
Micronesia (country),23.0,2021-01-21,2022-05-25,489,0.047034764826
Vatican,7.0,2020-03-06,2020-10-15,223,0.031818181818
Vatican,7.0,2020-03-06,2020-10-12,220,0.031818181818
Vatican,7.0,2020-03-06,2020-10-15,223,0.031390134529
Vatican,7.0,2020-03-06,2020-10-12,220,0.031390134529
Marshall Islands,13.0,2020-10-28,2022-07-07,617,0.021069692058
Saint Helena,2.0,2020-09-07,2020-09-07,0,""
North Korea,1.0,2022-05-14,2022-05-14,0,""
