location,Without_Vaccine_newcases_over_time,With_Vaccine_newcases_over_time
Anguilla,0.054140127388535034,6.623700623700624
Afghanistan,152.38082191780822,269.4082073434125
Algeria,312.5672514619883,327.8061855670103
Argentina,4401.5467032967035,14726.660231660231
Angola,60.09798270893372,173.04166666666666
Albania,198.1152647975078,419.97233201581025
Bahamas,25.00253164556962,60.512135922330096
Belarus,618.3213114754099,1530.402697495183
Andorra,29.078787878787878,67.81670061099797
Bangladesh,1639.7415384615385,2899.165306122449
Barbados,6.75,166.77872340425532
Aruba,24.329842931937172,64.81308411214954
Azerbaijan,703.6315789473684,1133.3046092184368
Armenia,446.0300925925926,552.2254196642685
Antigua and Barbuda,1.3020527859237536,16.6545842217484
Australia,73.61323155216284,15760.577586206897
Austria,1170.025078369906,7706.527559055118
Bahrain,298.74013157894734,944.3664122137404
Chad,11.006681514476615,6.971830985915493
Cambodia,1.2526315789473683,285.2647058823529
British Virgin Islands,0.5904761904761905,17.378666666666668
Belgium,1944.4802431610942,6768.4470134874755
Bonaire Sint Eustatius and Saba,13.168992248062015,11.013793103448275
Benin,19.39479905437352,49.3671875
Cayman Islands,1.1003460207612457,47.98464491362764
Burundi,34.76232394366197,99.50446428571429
Bolivia,669.9878419452888,1425.3333333333333
Central African Republic,16.193396226415093,20.268229166666668
Bhutan,2.2538860103626943,136.32946635730858
Cape Verde,44.77472527472528,91.1753986332574
Brunei,3.0964467005076144,351.12380952380954
Canada,1455.1559633027523,6409.699812382739
Belize,35.839650145772595,103.00218818380743
Brazil,26031.189602446484,44893.300601202405
Botswana,106.55401662049861,624.2129629629629
Bosnia and Herzegovina,341.28969957081546,621.7698863636364
Cameroon,153.5597014925373,140.27951807228916
Bulgaria,671.6868686868687,1864.2393822393822
Burkina Faso,29.855555555555554,20.56198347107438
Bermuda,3.1229773462783172,27.858585858585858
Djibouti,26.292929292929294,12.8679706601467
Comoros,10.705882352941176,10.612345679012346
Dominica,0.37003058103975534,29.740506329113924
Ecuador,752.7024539877301,1297.125
China,281.6595744680851,1486.296992481203
Curacao,20.31496062992126,84.40186915887851
Chile,1941.673202614379,5944.147227533461
Croatia,672.4064516129032,1795.0754352030947
Cuba,318.9820627802691,2638.5013698630137
Czechia,2220.526490066225,6255.788461538462
Denmark,304.81993569131834,5647.677179962894
Congo,25.464646464646464,33.96844660194175
Cyprus,84.14754098360656,910.3882352941176
Cote d'Ivoire,92.20505617977528,108.3859649122807
Cook Islands,0.2,15.293800539083557
Dominican Republic,655.0085227272727,752.0553191489362
Costa Rica,584.4205298013245,1387.4621359223302
Colombia,6325.790830945559,8324.260683760684
Democratic Republic of Congo,71.67326732673267,145.63235294117646
Fiji,0.15980629539951574,147.59318181818182
Germany,4883.505952380952,47538.751923076925
France,7890.41592920354,52600.165384615386
Greece,438.48709677419356,6391.710982658959
Equatorial Guinea,17.99182561307902,21.349206349206348
Finland,108.5307917888563,2056.8888888888887
Ghana,238.02549575070822,169.62061403508773
Gabon,48.336898395721924,67.9816091954023
Faeroe Islands,9.723502304147466,79.05974025974027
French Polynesia,54.25671641791045,115.33473684210526
Gibraltar,11.002832861189802,31.240343347639485
Estonia,77.17933130699087,1060.5346153846153
Georgia,717.9869451697128,3120.011286681716
Ethiopia,570.5739795918367,595.8803827751196
Eswatini,45.432291666666664,129.56235294117647
Gambia,13.664804469273744,16.09375
Falkland Islands,2.3157894736842106,0.25757575757575757
Egypt,467.6791907514451,719.1626016260162
El Salvador,174.00595238095238,223.0363247863248
Guyana,24.183976261127597,119.46835443037975
Iraq,1879.268817204301,3572.5131578947367
India,29951.252840909092,65105.77045908184
Isle of Man,1.4025974025974026,65.72525252525253
Iran,4139.76404494382,12071.861635220126
Ireland,285.8355263157895,2857.757225433526
Hong Kong,27.415617128463477,2595.764578833693
Iceland,39.2027027027027,383.3920704845815
Israel,1226.6907894736842,7134.149621212121
Indonesia,2671.1829652996844,10333.746031746032
Guatemala,461.712,1495.3478260869565
Grenada,0.4525993883792049,37.17088607594937
Honduras,479.78591549295777,558.1334792122539
Guinea,51.84375,39.568075117370896
Greenland,0.47642679900744417,29.15841584158416
Haiti,40.02892561983471,35.874608150470216
Guinea-Bissau,9.03623188405797,11.791666666666666
Hungary,1028.7142857142858,3185.8052208835343
Kiribati,0.08695652173913043,8.707865168539326
Jordan,980.873417721519,2752.1646825396824
Lesotho,34.966777408637874,50.966517857142854
Kuwait,484.97411003236243,931.344894026975
Italy,6168.204819277108,29564.834615384614
Lithuania,472.6056338028169,1963.5634615384615
Liechtenstein,6.324232081911263,29.695817490494296
Laos,0.13649025069637882,477.1363636363636
Libya,417.39268292682925,809.0097799511002
Liberia,5.0260663507109005,14.221354166666666
Jamaica,75.4532967032967,245.09151785714286
Latvia,70.64664310954063,1489.1731123388581
Kyrgyzstan,234.2872340425532,263.17249417249417
Kenya,294.8598901098901,480.4569536423841
Lebanon,938.715877437326,1614.8305084745762
Japan,1069.8422391857507,17987.8141025641
Kazakhstan,578.3429951690821,3067.6969696969695
Macao,0.12239583333333333,0.07337526205450734
Malaysia,733.1005025125628,9142.594360086769
Malawi,92.64606741573034,121.01141552511416
Maldives,48.65963855421687,338.71221532091096
Montserrat,0.054878048780487805,2.0167714884696015
Madagascar,94.31264916467781,64.7578125
Myanmar,452.1830065359477,969.3224489795919
Malta,49.305993690851736,158.625250501002
Mauritania,46.94444444444444,96.11832946635731
Monaco,18.59100642398287,10.202247191011235
Morocco,1314.1148459383753,1432.7131147540983
Mexico,3795.4428969359333,8439.413001912046
