location,max(total_cases),max(total_tests),percent_positive
Cambodia,136296,2951058,4.618546975355957
United Kingdom,22967566,502356584,4.571964761986677
South Sudan,17733,395064,4.488639815321062
Greece,3644889,82238808,4.432079073908756
Mali,31153,707024,4.406215347710969
Bhutan,59729,1468895,4.066253884722871
Niger,9031,246945,3.657089635343903
Gibraltar,18806,520880,3.610428505605898
Yemen,11832,336937,3.511635706378344
Chad,7426,218873,3.3928351144270876
Equatorial Guinea,16000,476752,3.3560425546195924
Gabon,47711,1592493,2.9959943309012975
Burundi,42836,1493032,2.8690610783961765
Hong Kong,1241435,45175438,2.748030910071088
Rwanda,131630,5474305,2.404506142788902
Austria,4471152,189694060,2.3570332144295927
Saudi Arabia,800087,43125205,1.8552653836660022
Cyprus,530510,29313336,1.809790601792986
Sierra Leone,7704,428517,1.797828324197173
United Arab Emirates,951196,168197656,0.5655227442646407
