location,max(total_cases),max(total_deaths),percent_survived
Sao Tome and Principe,6064,74,98.7796833773087
Saint Pierre and Miquelon,2857,1,99.9649982499125
Saint Kitts and Nevis,6293,44,99.30081042428095
Saint Vincent and the Grenadines,9447,114,98.79326770403303
Saudi Arabia,800087,9221,98.84750033433865
Saint Lucia,27252,385,98.58725965066783
Seychelles,45000,167,99.6288888888889
Samoa,15052,29,99.80733457347861
Poland,6022227,116453,98.06628013191798
Portugal,5242121,24291,99.53661886095342
Romania,2927187,65755,97.75364539402504
Serbia,2041175,16150,99.20878905532354
Sweden,2523404,19144,99.24134225038877
Sudan,62745,4952,92.1077376683401
Sri Lanka,664273,16525,97.51231797769893
Taiwan,4082028,7624,99.81323009053344
Slovakia,2557640,20160,99.21177335356032
Somalia,26865,1361,94.93392890377815
Tajikistan,17786,125,99.29720004497919
Suriname,80890,1376,98.29892446532328
Spain,12973615,108730,99.16191439317414
Thailand,4545043,30835,99.32156857481877
South Korea,18524538,24661,99.86687387291386
Syria,55949,3150,94.36987256251228
Switzerland,3805774,13842,99.63628949065289
South Sudan,17733,138,99.22178988326849
Slovenia,1049710,6660,99.36553905364339
Tanzania,35768,841,97.64873630060389
Solomon Islands,21544,153,99.2898254734497
South Africa,3997269,101876,97.45135991598264
Tonga,12382,12,99.90308512356647
Turkey,15180444,99057,99.34746967875247
Turks and Caicos Islands,6234,36,99.42252165543792
Togo,37608,275,99.26877260157413
Vatican,29,"",""
United States,88593875,1020861,98.84770702263559
Ukraine,5040518,112459,97.76889994242656
Venezuela,528292,5741,98.91329037729135
Uruguay,962251,7351,99.2360621085351
Tunisia,1066127,28748,97.30351074496754
Trinidad and Tobago,168237,4027,97.60635294257506
Uganda,168360,3627,97.8456878118318
Wallis and Futuna,456,7,98.46491228070175
United Arab Emirates,962937,2324,99.75865503142988
Timor,22969,133,99.4209586834429
Uzbekistan,241655,1637,99.32258798700627
Vanuatu,11617,14,99.87948695876733
United Kingdom,22967566,180898,99.21237627008452
Vietnam,10754813,43089,99.59935147175501
Yemen,11832,2149,81.83739012846519
Zimbabwe,255939,5564,97.82604448716296
Zambia,327052,4008,98.77450680625711
